"UPC Approx."	"Day"	"V_inti_ratio"	"Bounds Approx."	"n° subinterval (Nsub * Msub)"	"n° NN"	"Type nn"	"n° hidden layers"	"n° neurons"	"n° variables"	"time"	"MIP gap"	"solution"	"ratio infeasible"	"Distance Q"	"Signed distance Q"	"reserve penalty"	"settlement penalty"	"v out of bounds penalty"	"v target penalty"	"simulator"	"design point"
	12	0.5	"piecewise"	"1 x 1"	2	"sparseNN"	3	4	3990	26	0.01	489.6	6	0.12	-0.115	0	5.97	0	-18.7	503.1	"0.0 0.0 -5.64 -5.64 -5.67 -5.86 -6.05 -6.24 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.28 6.89 6.5 6.17 5.92 5.68 5.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0"
	12	0.5	"piecewise"	"1 x 1"	2	"sparseNN"	3	5	4710	60	0.06	493	8	0.14	-0.135	0	7.66	0	-12.86	499.1	"0.0 0.0 0.0 -5.9 -5.93 -5.96 -5.99 -6.08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.06 6.61 6.31 6.15 5.82 5.5 2.97 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0"
	15	0.5	"piecewise"	"1 x 1"	2	"NN"	2	4	3030	60	1.07	7781.2	23	0.13	-0.127	14	192.21	0	-430.19	8007.6	"-6.77 -7.01 -7.24 -7.47 -7.94 -8.25 -8.18 3.92 5.52 5.26 5.0 3.53 3.46 3.39 3.32 3.5 4.14 4.0 3.86 3.8 3.76 2.7 2.64 2.57 1.46 0.0 0.0 0.0 0.0 0.0"
	15	0.5	"piecewise"	"1 x 1"	2	"NN"	2	5	3510	60	1.08	7758.7	27	0.14	-0.109	14	343.49	0	-368.97	7774.4	"-7.02 -7.02 -7.33 -7.65 -7.96 -8.09 -8.58 3.93 4.65 4.92 4.45 4.31 4.02 3.42 3.52 3.27 4.21 4.17 4.12 4.07 4.02 2.7 2.64 2.57 1.46 0.0 0.0 0.0 0.0 0.0"
	15	0.5	"piecewise"	"1 x 1"	2	"NN"	3	4	3990	60	0.9	7727.6	23	0.15	-0.141	14	190.05	0	-479.7	8005.6	"-6.77 -7.01 -7.24 -7.47 -7.94 -8.25 -8.18 3.92 5.19 4.87 3.65 3.58 3.51 3.44 3.65 4.31 4.19 4.09 4.04 4.0 3.95 2.7 2.64 2.57 1.46 0.0 0.0 0.0 0.0 0.0"
	15	0.5	"piecewise"	"1 x 1"	2	"NN"	3	5	4710	60	1.13	7769.7	17	0.15	-0.143	12.17	105.54	0	-485.13	8138.4	"-6.67 -6.9 -7.13 -7.36 -7.82 -8.13 -8.06 4.4 5.11 5.01 4.91 3.99 3.85 3.47 3.6 3.47 3.35 4.17 4.41 2.95 2.88 2.81 2.74 2.68 1.36 0.0 0.0 0.1 0.0 0.0"
	15	0.5	"piecewise"	"1 x 1"	2	"sparseNN"	2	4	3030	60	0.66	7881.1	21	0.12	-0.095	12.25	118.39	0	-323.43	8075.3	"-6.64 -6.88 -7.11 -7.49 -7.8 -8.12 -8.04 4.04 5.19 4.93 4.68 4.44 4.2 3.96 3.41 3.34 3.43 3.43 4.25 3.43 3.43 2.83 2.77 2.7 1.34 0.0 0.0 0.13 0.0 0.0"
	15	0.5	"piecewise"	"1 x 1"	2	"sparseNN"	2	5	3510	60	0.78	7775.6	24	0.13	-0.118	14	233.23	0	-401.12	7932.3	"-6.77 -7.01 -7.24 -7.63 -7.95 -8.26 -8.18 3.92 5.19 5.19 5.19 3.54 3.47 3.4 3.33 4.2 4.03 3.87 4.02 3.63 3.62 2.7 2.64 2.57 1.46 0.0 0.0 0.0 0.0 0.0"
	15	0.5	"piecewise"	"1 x 1"	2	"sparseNN"	3	4	3990	60	0.61	7919.8	30	0.11	-0.068	14	291.09	0	-230.78	7849.1	"-6.77 -7.01 -7.24 -7.63 -7.95 -8.26 -8.57 5.19 4.97 4.76 4.54 4.33 4.13 3.92 3.73 3.54 3.44 3.96 4.63 3.31 3.32 2.7 2.64 2.57 1.46 0.0 0.0 0.0 0.0 0.0"
	15	0.5	"piecewise"	"1 x 1"	2	"sparseNN"	3	5	4710	60	0.96	7816.2	27	0.14	-0.119	12.25	145.71	0	-404.3	8064.4	"-6.64 -6.88 -7.11 -7.49 -7.8 -8.11 -8.42 4.27 4.18 5.65 3.94 5.37 3.7 3.61 3.51 3.42 3.31 4.38 4.73 2.98 2.91 2.85 2.8 2.74 1.34 0.0 0.0 0.13 0.0 0.0"
	17	0.5	"piecewise"	"1 x 1"	2	"NN"	2	4	3030	60	1.02	4316.5	24	0.24	-0.203	45.33	115.99	0	-385.67	4542.9	"3.69 -5.67 -5.88 -6.09 -6.3 -6.51 4.3 4.21 4.32 4.02 3.93 3.84 -5.79 -5.98 -6.19 -6.39 4.24 4.14 4.23 5.81 5.5 5.2 3.73 3.69 0.54 0.0 0.0 0.82 0.0 0.0"
	17	0.5	"piecewise"	"1 x 1"	2	"NN"	2	5	3510	60	1.16	4219.1	21	0.24	-0.21	40	83.28	0	-399.27	4496.5	"3.12 3.12 -6.0 -6.23 -6.45 3.44 3.37 4.14 4.09 3.29 3.01 2.94 -5.69 -5.92 -6.15 -6.37 -6.59 3.52 4.22 5.36 5.07 4.8 3.98 3.93 0.96 -0.0 0.0 0.24 0.0 0.0"
	17	0.5	"piecewise"	"1 x 1"	2	"NN"	3	4	3990	60	0.96	4298.6	35	0.28	-0.226	68	134.24	0	-429.36	4528.1	"3.92 -5.42 -5.62 -5.82 -6.02 -6.23 4.51 4.41 4.32 4.22 4.12 -5.59 4.14 -5.62 -5.82 -6.02 -6.23 4.51 4.41 6.28 5.95 5.62 5.31 4.79 0.3 0.0 0.0 1.06 0.0 0.0"
	17	0.5	"piecewise"	"1 x 1"	2	"NN"	3	5	4710	60	1.24	4271.7	26	0.21	-0.182	45	107.11	0	-345.39	4466.9	"3.24 -6.16 -6.38 -6.61 -6.83 -7.05 3.99 3.86 3.73 3.65 3.57 3.49 -6.45 -6.68 -6.97 3.8 3.72 3.64 3.77 5.35 5.07 4.8 4.22 4.14 0.99 0.0 0.0 0.36 0.0 0.0"
	17	0.5	"piecewise"	"1 x 1"	2	"sparseNN"	2	4	3030	60	0.76	4267.8	23	0.29	-0.247	43.33	129.93	0	-469.55	4566.3	"3.87 3.87 -5.25 -5.49 -5.65 -5.86 4.25 4.15 4.05 3.95 3.85 -5.21 -5.48 -5.62 -5.82 -6.03 -6.23 4.47 4.38 6.3 5.96 5.64 5.34 5.05 0.29 0.0 0.0 1.01 0.0 0.0"
